Number,MSE
630,0.266897
631,0.266871
632,0.266846
633,0.266821
634,0.266796
635,0.266771
636,0.266746
637,0.266722
638,0.266697
639,0.266672
640,0.266648
641,0.266623
642,0.266599
643,0.266574
644,0.266550
645,0.266526
646,0.266502
647,0.266478
648,0.266454
649,0.266430
650,0.266406
651,0.266383
652,0.266359
653,0.266335
654,0.266312
655,0.266288
656,0.266265
657,0.266241
658,0.266218
659,0.266195
660,0.266172
661,0.266149
662,0.266126
663,0.266103
664,0.266080
665,0.266057
666,0.266034
667,0.266012
668,0.265989
669,0.265967
670,0.265944
671,0.265922
672,0.265899
673,0.265877
674,0.265855
675,0.265833
676,0.265811
677,0.265788
678,0.265766
679,0.265745
680,0.265723
681,0.265701
682,0.265679
683,0.265658
684,0.265636
685,0.265614
686,0.265593
687,0.265572
688,0.265550
689,0.265529
690,0.265508
691,0.265487
692,0.265465
693,0.265444
694,0.265423
695,0.265402
696,0.265382
697,0.265361
698,0.265340
699,0.265319
700,0.265299
701,0.265278
702,0.265257
703,0.265237
704,0.265216
705,0.265196
706,0.265176
707,0.265156
708,0.265135
709,0.265115
710,0.265095
711,0.265075
712,0.265055
713,0.265035
714,0.265015
715,0.264995
716,0.264976
717,0.264956
718,0.264936
719,0.264917
720,0.264897
721,0.264878
722,0.264858
723,0.264839
724,0.264819
725,0.264800
726,0.264781
727,0.264762
728,0.264743
729,0.264723
730,0.264704
731,0.264685
732,0.264667
733,0.264648
734,0.264629
735,0.264610
736,0.264591
737,0.264573
738,0.264554
739,0.264535
740,0.264517
741,0.264498
742,0.264480
743,0.264462
744,0.264443
745,0.264425
746,0.264407
747,0.264389
748,0.264370
749,0.264352
750,0.264334
751,0.264316
752,0.264298
753,0.264280
754,0.264263
755,0.264245
756,0.264227
757,0.264209
758,0.264192
759,0.264174
760,0.264156
761,0.264139
762,0.264121
763,0.264104
764,0.264087
765,0.264069
766,0.264052
767,0.264035
768,0.264017
769,0.264000
770,0.263983
771,0.263966
772,0.263949
773,0.263932
774,0.263915
775,0.263898
776,0.263881
777,0.263864
778,0.263847
779,0.263831
780,0.263814
781,0.263797
782,0.263781
783,0.263764
784,0.263747
785,0.263731
786,0.263714
787,0.263698
788,0.263682
789,0.263665
790,0.263649
791,0.263633
792,0.263617
793,0.263600
794,0.263584
795,0.263568
796,0.263552
797,0.263536
798,0.263520
799,0.263504
800,0.263488
801,0.263472
802,0.263456
803,0.263441
804,0.263425
805,0.263409
806,0.263394
807,0.263378
808,0.263362
809,0.263347
810,0.263331
811,0.263316
812,0.263300
813,0.263285
814,0.263270
815,0.263254
816,0.263239
817,0.263224
818,0.263209
819,0.263193
820,0.263178
821,0.263163
822,0.263148
823,0.263133
824,0.263118
825,0.263103
826,0.263088
827,0.263073
828,0.263058
829,0.263044
830,0.263029
831,0.263014
832,0.262999
833,0.262985
834,0.262970
835,0.262956
836,0.262941
837,0.262926
838,0.262912
839,0.262897
840,0.262883
841,0.262869
842,0.262854
843,0.262840
844,0.262826
845,0.262811
846,0.262797
847,0.262783
848,0.262769
849,0.262755
850,0.262741
851,0.262727
852,0.262713
853,0.262699
854,0.262685
855,0.262671
856,0.262657
857,0.262643
858,0.262629
859,0.262615
860,0.262601
861,0.262588
862,0.262574
863,0.262560
864,0.262547
865,0.262533
866,0.262519
867,0.262506
868,0.262492
869,0.262479
870,0.262465
871,0.262452
872,0.262439
873,0.262425
874,0.262412
875,0.262399
876,0.262385
877,0.262372
878,0.262359
879,0.262346
880,0.262333
881,0.262319
882,0.262306
883,0.262293
884,0.262280
885,0.262267
886,0.262254
887,0.262241
888,0.262228
889,0.262216
890,0.262203
891,0.262190
892,0.262177
893,0.262164
894,0.262151
895,0.262139
896,0.262126
897,0.262113
898,0.262101
899,0.262088
900,0.262076
901,0.262063
902,0.262051
903,0.262038
904,0.262026
905,0.262013
906,0.262001
907,0.261988
908,0.261976
909,0.261964
910,0.261951
911,0.261939
912,0.261927
913,0.261915
914,0.261902
915,0.261890
916,0.261878
917,0.261866
918,0.261854
919,0.261842
920,0.261830
921,0.261818
922,0.261806
923,0.261794
924,0.261782
925,0.261770
926,0.261758
927,0.261746
928,0.261734
929,0.261722
930,0.261711
931,0.261699
932,0.261687
933,0.261675
934,0.261664
935,0.261652
936,0.261640
937,0.261629
938,0.261617
939,0.261605
940,0.261594
941,0.261582
942,0.261571
943,0.261559
944,0.261548
945,0.261537
946,0.261525
947,0.261514
948,0.261502
949,0.261491
950,0.261480
951,0.261469
952,0.261457
953,0.261446
954,0.261435
955,0.261424
956,0.261413
957,0.261401
958,0.261390
959,0.261379
960,0.261368
961,0.261357
962,0.261346
963,0.261335
964,0.261324
965,0.261313
966,0.261302
967,0.261291
968,0.261280
969,0.261269
970,0.261258
971,0.261248
972,0.261237
973,0.261226
974,0.261215
975,0.261204
976,0.261194
977,0.261183
978,0.261172
979,0.261161
980,0.261151
981,0.261140
982,0.261129
983,0.261119
984,0.261108
985,0.261098
986,0.261087
987,0.261077
988,0.261066
989,0.261055
990,0.261045
991,0.261035
992,0.261024
993,0.261014
994,0.261003
995,0.260993
996,0.260983
997,0.260972
998,0.260962
999,0.260952
1000,0.260941
1001,0.260931
1002,0.260921
1003,0.260910
1004,0.260900
1005,0.260890
1006,0.260880
1007,0.260870
1008,0.260860
1009,0.260849
1010,0.260839
1011,0.260829
1012,0.260819
1013,0.260809
1014,0.260799
1015,0.260789
1016,0.260779
1017,0.260769
1018,0.260759
1019,0.260749
1020,0.260739
1021,0.260729
1022,0.260719
1023,0.260709
1024,0.260700
1025,0.260690
1026,0.260680
1027,0.260670
1028,0.260660
1029,0.260650
1030,0.260641
1031,0.260631
1032,0.260621
1033,0.260611
1034,0.260601
1035,0.260592
1036,0.260582
1037,0.260572
1038,0.260563
1039,0.260553
1040,0.260543
1041,0.260534
